date,allGradesGasPrice,regularGasPrice,midgradeGasPrice,premiumGasPrice
08/17/2015,2.94,2.86,3.08,3.29
10/22/2012,3.69,3.64,3.76,3.87
02/06/2017,2.26,2.15,2.42,2.69
12/19/2005,2.22,2.18,2.27,2.37
09/19/2005,2.93,2.88,3.00,3.09
10/21/2013,3.40,3.34,3.48,3.62
08/15/2005,2.50,2.46,2.57,2.67
11/09/2015,2.16,2.06,2.30,2.54
11/14/2005,2.42,2.37,2.48,2.58
06/26/2017,2.33,2.22,2.50,2.76
01/28/2008,2.88,2.84,2.95,3.06
03/31/2014,3.64,3.58,3.72,3.87
04/09/2018,2.60,2.49,2.76,3.06
12/11/2006,2.22,2.18,2.28,2.38
11/06/2006,2.22,2.18,2.28,2.38
05/02/2005,2.25,2.21,2.32,2.42
08/06/2012,3.51,3.46,3.58,3.69
12/16/2013,3.07,3.02,3.16,3.30
08/04/2014,3.66,3.59,3.76,3.90
03/26/2001,1.47,1.43,1.55,1.66
10/10/2016,2.27,2.16,2.43,2.69
04/01/2002,1.40,1.36,1.47,1.58
05/02/2011,3.74,3.69,3.80,3.91
07/20/2009,2.48,2.44,2.55,2.66
11/19/2012,3.45,3.40,3.52,3.63
06/21/2010,2.72,2.67,2.78,2.89
08/08/2016,2.18,2.08,2.34,2.59
05/01/2017,2.43,2.32,2.58,2.85
09/11/2017,2.64,2.53,2.80,3.08
01/14/2008,2.91,2.87,2.98,3.09
04/15/2019,2.74,2.63,2.90,3.19
01/29/2007,2.10,2.06,2.16,2.26
09/08/2008,3.72,3.68,3.79,3.90
09/04/2006,2.94,2.89,3.01,3.10
11/21/2011,3.42,3.38,3.49,3.60
03/05/2007,2.47,2.43,2.53,2.63
04/03/2017,2.29,2.18,2.46,2.72
01/15/2007,2.19,2.14,2.25,2.35
08/11/2014,3.69,3.63,3.79,3.94
04/11/2011,3.61,3.57,3.68,3.79
12/21/2015,1.97,1.88,2.13,2.36
06/06/2011,3.74,3.69,3.80,3.91
07/05/2004,1.91,1.87,1.98,2.08
01/11/2010,2.60,2.55,2.67,2.78
01/16/2012,3.06,3.01,3.13,3.24
07/20/2015,2.83,2.75,2.95,3.15
06/02/2014,3.51,3.45,3.61,3.76
12/31/2007,2.85,2.81,2.92,3.03
12/29/2014,2.21,2.15,2.33,2.47
02/25/2008,3.09,3.04,3.16,3.27
05/10/2010,2.79,2.74,2.86,2.96
08/27/2007,2.85,2.81,2.92,3.03
02/17/2014,3.40,3.34,3.49,3.63
04/23/2001,1.66,1.61,1.75,1.86
11/12/2007,3.10,3.06,3.17,3.28
02/28/2011,3.23,3.19,3.30,3.41
06/18/2012,3.74,3.69,3.81,3.92
03/28/2011,3.46,3.42,3.53,3.64
07/29/2002,1.51,1.47,1.58,1.69
01/06/2014,3.22,3.17,3.31,3.45
12/26/2005,2.19,2.15,2.26,2.36
10/26/2009,2.60,2.56,2.67,2.78
02/13/2012,3.11,3.07,3.18,3.30
10/12/2009,2.40,2.35,2.47,2.57
01/06/2003,1.50,1.46,1.57,1.68
09/21/2015,2.62,2.53,2.76,2.97
07/25/2016,2.26,2.16,2.41,2.66
02/19/2007,2.25,2.21,2.32,2.42
07/30/2018,2.84,2.73,2.99,3.29
12/24/2007,2.86,2.81,2.93,3.04
03/02/2009,1.84,1.79,1.92,2.02
02/06/2012,3.10,3.06,3.17,3.28
06/23/2014,3.63,3.56,3.72,3.87
02/10/2014,3.25,3.19,3.34,3.49
